Day of the Week;Product 1;Product 2;Product 3;Product 4;Time of the day
Sunday;Rice;Apple;Chicken;Cheese;Evening
Monday;Pasta;Apple;Fish;Egg;Morning
Tuesday;Rice;Banana;Chicken;Egg;Afternoon
Wednesday;Bread;Apple;Chicken;Cheese;Evening
Thursday;Rice;Orange;Beef;Milk;Morning
Friday;Bread;Apple;Fish;Egg;Morning
Saturday;Bread;Apple;Fish;Cheese;Evening
Sunday;Pasta;Grapes;Chicken;Cheese;Evening
Monday;Bread;Orange;Fish;Egg;Evening
Tuesday;Bread;Grapes;Fish;Milk;Afternoon
Wednesday;Rice;Blueberry;Beef;Cheese;Evening
Thursday;Bread;Blueberry;Fish;Cheese;Evening
Friday;Bread;Blueberry;Fish;Egg;Evening
Saturday;Rice;Banana;Beef;Milk;Evening
Sunday;Potato;Banana;Fish;Cheese;Morning
Monday;Bread;Apple;Chicken;Cheese;Morning
Tuesday;Bread;Apple;Fish;Butter;Evening
Wednesday;Rice;Grapes;Beef;Milk;Morning
Thursday;Potato;Apple;Fish;Cheese;Afternoon
Friday;Rice;Apple;Beef;Egg;Morning
Saturday;Bread;Blueberry;Beef;Cheese;Afternoon
Sunday;Potato;Banana;Beef;Cheese;Afternoon
Monday;Bread;Orange;Beef;Butter;Morning
Tuesday;Bread;Apple;Chicken;Cheese;Morning
Wednesday;Bread;Blueberry;Fish;Cheese;Afternoon
Thursday;Bread;Banana;Beef;Cheese;Evening
Friday;Potato;Orange;Chicken;Milk;Afternoon
Saturday;Bread;Apple;Chicken;Cheese;Evening
Sunday;Bread;Grapes;Beef;Cheese;Evening
Monday;Bread;Orange;Beef;Cheese;Evening
Tuesday;Potato;Orange;Fish;Cheese;Afternoon
Wednesday;Pasta;Apple;Chicken;Butter;Evening
Thursday;Pasta;Apple;Chicken;Egg;Afternoon
Friday;Pasta;Apple;Chicken;Cheese;Evening
Saturday;Potato;Apple;Chicken;Cheese;Morning
Sunday;Bread;Apple;Fish;Cheese;Evening
Monday;Rice;Banana;Fish;Egg;Afternoon
Tuesday;Potato;Banana;Fish;Egg;Evening
Wednesday;Rice;Orange;Beef;Cheese;Evening
Thursday;Rice;Orange;Chicken;Cheese;Morning
Friday;Potato;Apple;Beef;Cheese;Afternoon
Saturday;Pasta;Apple;Chicken;Butter;Afternoon
Sunday;Bread;Apple;Chicken;Butter;Evening
Monday;Bread;Grapes;Chicken;Butter;Evening
Tuesday;Bread;Banana;Chicken;Egg;Evening
Wednesday;Bread;Blueberry;Chicken;Butter;Morning
Thursday;Rice;Apple;Chicken;Cheese;Afternoon
Friday;Potato;Orange;Chicken;Egg;Morning
Saturday;Bread;Orange;Fish;Cheese;Afternoon
Sunday;Bread;Apple;Fish;Butter;Morning
Monday;Bread;Apple;Beef;Egg;Evening
Tuesday;Bread;Blueberry;Beef;Cheese;Evening
Wednesday;Pasta;Apple;Chicken;Egg;Afternoon
Thursday;Pasta;Apple;Chicken;Cheese;Afternoon
Friday;Bread;Blueberry;Beef;Cheese;Evening
Saturday;Bread;Orange;Chicken;Egg;Evening
Sunday;Potato;Blueberry;Chicken;Egg;Evening
Monday;Rice;Apple;Beef;Egg;Evening
Tuesday;Bread;Grapes;Chicken;Milk;Evening
Wednesday;Bread;Banana;Fish;Milk;Evening
Thursday;Bread;Orange;Beef;Butter;Evening
Friday;Rice;Blueberry;Chicken;Milk;Evening
Saturday;Bread;Blueberry;Chicken;Cheese;Afternoon
Sunday;Pasta;Apple;Chicken;Milk;Evening
Monday;Bread;Orange;Beef;Milk;Evening
Tuesday;Bread;Banana;Chicken;Butter;Morning
Wednesday;Pasta;Apple;Beef;Cheese;Evening
Thursday;Bread;Grapes;Fish;Egg;Evening
Friday;Rice;Grapes;Beef;Egg;Evening
Saturday;Pasta;Orange;Chicken;Egg;Afternoon
Sunday;Rice;Apple;Beef;Butter;Afternoon
Monday;Rice;Apple;Beef;Butter;Evening
Tuesday;Bread;Orange;Fish;Butter;Morning
Wednesday;Bread;Orange;Beef;Milk;Morning
Thursday;Bread;Apple;Beef;Cheese;Afternoon
Friday;Rice;Orange;Beef;Milk;Afternoon
Saturday;Rice;Banana;Beef;Cheese;Evening
Sunday;Bread;Banana;Chicken;Cheese;Morning
Monday;Potato;Banana;Fish;Milk;Afternoon
Tuesday;Potato;Apple;Chicken;Cheese;Evening
Wednesday;Potato;Apple;Chicken;Butter;Evening
Thursday;Bread;Banana;Chicken;Butter;Evening
Friday;Pasta;Orange;Chicken;Cheese;Afternoon
Saturday;Bread;Apple;Fish;Butter;Evening
Sunday;Bread;Blueberry;Fish;Cheese;Morning
Monday;Bread;Orange;Chicken;Cheese;Afternoon
Tuesday;Bread;Orange;Fish;Butter;Evening
Wednesday;Potato;Banana;Chicken;Butter;Evening
Thursday;Rice;Apple;Chicken;Egg;Morning
Friday;Pasta;Banana;Beef;Cheese;Evening
Saturday;Bread;Orange;Beef;Butter;Morning
Sunday;Bread;Grapes;Beef;Cheese;Morning
Monday;Pasta;Apple;Chicken;Cheese;Evening
Tuesday;Bread;Orange;Chicken;Cheese;Evening
Wednesday;Bread;Blueberry;Chicken;Milk;Evening
Thursday;Bread;Apple;Fish;Milk;Evening
Friday;Potato;Grapes;Chicken;Cheese;Evening
Saturday;Potato;Apple;Chicken;Egg;Evening
Sunday;Bread;Apple;Chicken;Butter;Evening
Monday;Bread;Orange;Fish;Cheese;Afternoon
Tuesday;Rice;Grapes;Fish;Cheese;Afternoon
Wednesday;Rice;Orange;Chicken;Milk;Evening
Thursday;Potato;Banana;Fish;Egg;Morning
Friday;Bread;Blueberry;Chicken;Egg;Morning
Saturday;Bread;Apple;Chicken;Egg;Afternoon
Sunday;Potato;Grapes;Beef;Cheese;Afternoon
Monday;Rice;Blueberry;Fish;Milk;Afternoon
Tuesday;Potato;Blueberry;Chicken;Milk;Evening
Wednesday;Bread;Orange;Chicken;Butter;Evening
Thursday;Bread;Banana;Chicken;Cheese;Evening
Friday;Rice;Apple;Chicken;Milk;Evening
Saturday;Pasta;Apple;Chicken;Milk;Evening
Sunday;Pasta;Banana;Chicken;Egg;Afternoon
Monday;Bread;Apple;Fish;Milk;Evening
Tuesday;Bread;Orange;Chicken;Milk;Afternoon
Wednesday;Rice;Grapes;Beef;Egg;Morning
Thursday;Bread;Grapes;Beef;Cheese;Evening
Friday;Bread;Apple;Beef;Milk;Afternoon
Saturday;Bread;Apple;Fish;Butter;Morning
Sunday;Bread;Orange;Fish;Cheese;Morning
Monday;Bread;Orange;Beef;Cheese;Evening
Tuesday;Bread;Apple;Beef;Cheese;Morning
Wednesday;Bread;Apple;Chicken;Milk;Morning
Thursday;Pasta;Apple;Fish;Butter;Afternoon
Friday;Rice;Orange;Chicken;Cheese;Afternoon
Saturday;Bread;Orange;Beef;Milk;Evening
Sunday;Potato;Grapes;Chicken;Cheese;Afternoon
Monday;Pasta;Apple;Fish;Milk;Evening
Tuesday;Potato;Blueberry;Chicken;Butter;Afternoon
Wednesday;Bread;Apple;Chicken;Egg;Evening
Thursday;Rice;Orange;Beef;Egg;Evening
Friday;Bread;Orange;Chicken;Egg;Morning
Saturday;Pasta;Orange;Fish;Cheese;Evening
Sunday;Potato;Apple;Chicken;Cheese;Evening
Monday;Potato;Grapes;Chicken;Cheese;Evening
Tuesday;Rice;Blueberry;Chicken;Cheese;Morning
Wednesday;Bread;Apple;Beef;Milk;Afternoon
Thursday;Rice;Grapes;Beef;Cheese;Afternoon
Friday;Bread;Banana;Fish;Milk;Evening
Saturday;Bread;Orange;Fish;Milk;Afternoon
Sunday;Bread;Apple;Chicken;Cheese;Evening
Monday;Rice;Apple;Chicken;Cheese;Evening
Tuesday;Potato;Blueberry;Chicken;Milk;Morning
Wednesday;Rice;Apple;Fish;Cheese;Morning
Thursday;Bread;Banana;Chicken;Cheese;Evening
Friday;Bread;Blueberry;Chicken;Milk;Evening
Saturday;Potato;Apple;Chicken;Cheese;Evening
Sunday;Bread;Apple;Beef;Cheese;Evening
Monday;Bread;Orange;Chicken;Egg;Evening
Tuesday;Bread;Orange;Fish;Egg;Evening
Wednesday;Rice;Orange;Fish;Milk;Afternoon
Thursday;Pasta;Apple;Chicken;Egg;Morning
Friday;Bread;Banana;Fish;Egg;Morning
Saturday;Bread;Apple;Chicken;Egg;Evening
Sunday;Potato;Blueberry;Beef;Egg;Morning
Monday;Bread;Grapes;Fish;Cheese;Evening
Tuesday;Potato;Apple;Chicken;Cheese;Morning
Wednesday;Bread;Grapes;Chicken;Egg;Afternoon
Thursday;Bread;Banana;Chicken;Cheese;Evening
Friday;Bread;Grapes;Beef;Cheese;Afternoon
Saturday;Potato;Orange;Chicken;Cheese;Evening
Sunday;Pasta;Orange;Chicken;Cheese;Evening
Monday;Rice;Apple;Chicken;Egg;Evening
Tuesday;Bread;Orange;Beef;Cheese;Afternoon
Wednesday;Bread;Apple;Chicken;Cheese;Afternoon
Thursday;Bread;Apple;Chicken;Egg;Morning
Friday;Bread;Apple;Beef;Cheese;Evening
Saturday;Rice;Blueberry;Chicken;Cheese;Evening
Sunday;Bread;Grapes;Fish;Milk;Evening
Monday;Bread;Blueberry;Chicken;Cheese;Morning
Tuesday;Pasta;Blueberry;Beef;Milk;Morning
Wednesday;Bread;Apple;Beef;Milk;Evening
Thursday;Bread;Banana;Fish;Butter;Evening
Friday;Rice;Grapes;Chicken;Cheese;Afternoon
Saturday;Rice;Apple;Fish;Cheese;Evening
Sunday;Bread;Grapes;Beef;Milk;Afternoon
Monday;Bread;Banana;Fish;Cheese;Evening
Tuesday;Bread;Orange;Fish;Cheese;Evening
Wednesday;Bread;Orange;Chicken;Milk;Evening
Thursday;Bread;Apple;Chicken;Milk;Evening
Friday;Bread;Grapes;Chicken;Milk;Evening
Saturday;Bread;Apple;Fish;Milk;Afternoon
Sunday;Pasta;Apple;Chicken;Milk;Morning
Monday;Potato;Orange;Chicken;Butter;Afternoon
Tuesday;Bread;Orange;Fish;Cheese;Evening
Wednesday;Potato;Blueberry;Chicken;Butter;Afternoon
Thursday;Potato;Apple;Fish;Butter;Evening
Friday;Bread;Apple;Chicken;Milk;Morning
Saturday;Rice;Apple;Beef;Milk;Afternoon
Sunday;Pasta;Orange;Fish;Cheese;Afternoon
Monday;Potato;Blueberry;Fish;Butter;Evening
Tuesday;Bread;Grapes;Chicken;Egg;Afternoon
Wednesday;Potato;Apple;Beef;Egg;Evening
Thursday;Bread;Apple;Chicken;Cheese;Afternoon
Friday;Bread;Grapes;Fish;Cheese;Afternoon
Saturday;Bread;Blueberry;Fish;Butter;Evening
Sunday;Bread;Blueberry;Beef;Milk;Evening
Monday;Potato;Orange;Fish;Egg;Afternoon
Tuesday;Pasta;Orange;Chicken;Butter;Morning
Wednesday;Pasta;Blueberry;Beef;Milk;Evening
Thursday;Bread;Apple;Fish;Egg;Morning
Friday;Bread;Apple;Beef;Milk;Evening
Saturday;Potato;Apple;Beef;Butter;Morning
Sunday;Pasta;Apple;Chicken;Milk;Evening
Monday;Rice;Grapes;Chicken;Milk;Evening
Tuesday;Pasta;Apple;Beef;Egg;Morning
Wednesday;Pasta;Apple;Fish;Cheese;Morning
Thursday;Bread;Banana;Beef;Cheese;Evening
Friday;Bread;Orange;Beef;Egg;Evening
Saturday;Potato;Orange;Fish;Egg;Evening
Sunday;Bread;Apple;Chicken;Cheese;Evening
Monday;Bread;Orange;Fish;Egg;Evening
Tuesday;Rice;Banana;Fish;Egg;Morning
Wednesday;Bread;Apple;Chicken;Cheese;Morning
Thursday;Bread;Orange;Beef;Cheese;Morning
Friday;Pasta;Apple;Chicken;Cheese;Morning
Saturday;Bread;Apple;Chicken;Egg;Evening
Sunday;Bread;Orange;Chicken;Cheese;Evening
Monday;Rice;Apple;Chicken;Cheese;Afternoon
Tuesday;Rice;Apple;Beef;Cheese;Afternoon
Wednesday;Potato;Orange;Chicken;Cheese;Evening
Thursday;Rice;Orange;Fish;Egg;Morning
Friday;Bread;Blueberry;Beef;Cheese;Evening
Saturday;Bread;Apple;Chicken;Egg;Morning
Sunday;Pasta;Banana;Beef;Cheese;Morning
Monday;Bread;Apple;Chicken;Egg;Evening
Tuesday;Pasta;Grapes;Chicken;Egg;Afternoon
Wednesday;Bread;Apple;Chicken;Milk;Afternoon
Thursday;Rice;Orange;Fish;Cheese;Evening
Friday;Rice;Apple;Chicken;Milk;Evening
Saturday;Bread;Grapes;Beef;Egg;Morning
Sunday;Pasta;Apple;Chicken;Butter;Afternoon
Monday;Bread;Orange;Chicken;Cheese;Afternoon
Tuesday;Rice;Apple;Fish;Butter;Afternoon
Wednesday;Rice;Apple;Chicken;Butter;Morning
Thursday;Potato;Orange;Fish;Cheese;Evening
Friday;Pasta;Grapes;Chicken;Butter;Morning
Saturday;Potato;Apple;Fish;Cheese;Morning
Sunday;Bread;Apple;Beef;Milk;Morning
Monday;Bread;Orange;Beef;Milk;Morning
Tuesday;Bread;Orange;Beef;Cheese;Evening
Wednesday;Pasta;Apple;Chicken;Egg;Evening
Thursday;Rice;Grapes;Beef;Cheese;Evening
Friday;Bread;Orange;Beef;Egg;Evening
Saturday;Potato;Apple;Beef;Egg;Morning
Sunday;Bread;Blueberry;Chicken;Cheese;Evening
Monday;Pasta;Banana;Chicken;Egg;Morning
Tuesday;Bread;Grapes;Chicken;Cheese;Afternoon
Wednesday;Bread;Orange;Beef;Milk;Morning
Thursday;Rice;Banana;Beef;Milk;Evening
Friday;Rice;Orange;Beef;Milk;Evening
Saturday;Potato;Orange;Chicken;Milk;Afternoon
Sunday;Bread;Grapes;Beef;Cheese;Evening
Monday;Bread;Grapes;Fish;Milk;Morning
Tuesday;Bread;Grapes;Fish;Cheese;Evening
Wednesday;Rice;Apple;Beef;Egg;Afternoon
Thursday;Potato;Blueberry;Beef;Cheese;Evening
Friday;Pasta;Apple;Chicken;Cheese;Morning
Saturday;Bread;Apple;Chicken;Cheese;Afternoon
Sunday;Bread;Apple;Chicken;Cheese;Evening
Monday;Pasta;Grapes;Chicken;Milk;Evening
Tuesday;Rice;Orange;Beef;Milk;Evening
Wednesday;Rice;Orange;Chicken;Milk;Morning
Thursday;Bread;Apple;Beef;Cheese;Evening
Friday;Bread;Apple;Fish;Butter;Evening
Saturday;Bread;Banana;Chicken;Egg;Evening
Sunday;Bread;Orange;Chicken;Butter;Evening
Monday;Bread;Orange;Beef;Egg;Evening
Tuesday;Bread;Grapes;Chicken;Cheese;Afternoon
Wednesday;Bread;Grapes;Beef;Butter;Evening
Thursday;Bread;Banana;Fish;Milk;Evening
Friday;Bread;Apple;Fish;Cheese;Afternoon
Saturday;Potato;Grapes;Fish;Cheese;Morning
Sunday;Bread;Apple;Fish;Egg;Evening
Monday;Pasta;Apple;Beef;Egg;Evening
Tuesday;Bread;Grapes;Chicken;Cheese;Evening
Wednesday;Rice;Blueberry;Chicken;Cheese;Evening
Thursday;Bread;Grapes;Beef;Egg;Afternoon
Friday;Rice;Orange;Beef;Egg;Evening
Saturday;Bread;Blueberry;Fish;Egg;Evening
Sunday;Bread;Apple;Chicken;Cheese;Morning
Monday;Bread;Apple;Fish;Butter;Morning
Tuesday;Bread;Apple;Beef;Egg;Evening
Wednesday;Rice;Orange;Chicken;Egg;Morning
Thursday;Bread;Grapes;Chicken;Milk;Afternoon
Friday;Bread;Grapes;Fish;Milk;Evening
Saturday;Bread;Apple;Chicken;Milk;Morning
Sunday;Bread;Orange;Chicken;Milk;Morning
Monday;Potato;Grapes;Beef;Butter;Afternoon
Tuesday;Rice;Banana;Beef;Cheese;Afternoon
Wednesday;Potato;Apple;Fish;Butter;Evening
Thursday;Pasta;Apple;Chicken;Milk;Evening
Friday;Potato;Grapes;Chicken;Cheese;Evening
Saturday;Potato;Orange;Chicken;Butter;Evening
Sunday;Potato;Apple;Chicken;Milk;Evening
Monday;Pasta;Banana;Chicken;Cheese;Evening
Tuesday;Pasta;Banana;Fish;Milk;Afternoon
Wednesday;Bread;Orange;Chicken;Butter;Morning
Thursday;Rice;Apple;Chicken;Milk;Morning
Friday;Bread;Orange;Chicken;Cheese;Evening
Saturday;Bread;Blueberry;Chicken;Egg;Evening
Sunday;Bread;Blueberry;Chicken;Butter;Morning
Monday;Bread;Orange;Fish;Butter;Afternoon
Tuesday;Pasta;Apple;Chicken;Egg;Afternoon
Wednesday;Rice;Blueberry;Beef;Milk;Evening
Thursday;Potato;Orange;Chicken;Cheese;Evening
Friday;Pasta;Blueberry;Chicken;Egg;Evening
Saturday;Rice;Blueberry;Chicken;Cheese;Evening
Sunday;Potato;Apple;Chicken;Cheese;Evening
Monday;Rice;Apple;Beef;Butter;Evening
Tuesday;Potato;Apple;Fish;Milk;Evening
Wednesday;Bread;Grapes;Chicken;Cheese;Evening
Thursday;Rice;Apple;Chicken;Cheese;Evening
Friday;Bread;Apple;Fish;Cheese;Morning
Saturday;Bread;Blueberry;Fish;Milk;Morning
Sunday;Bread;Orange;Beef;Cheese;Evening
Monday;Bread;Orange;Beef;Cheese;Afternoon
Tuesday;Pasta;Grapes;Chicken;Milk;Evening
Wednesday;Bread;Apple;Chicken;Butter;Evening
Thursday;Bread;Apple;Chicken;Cheese;Evening
Friday;Bread;Apple;Fish;Milk;Morning
Saturday;Bread;Apple;Chicken;Milk;Evening
Sunday;Bread;Blueberry;Chicken;Cheese;Evening
Monday;Rice;Orange;Chicken;Egg;Morning
Tuesday;Pasta;Grapes;Beef;Butter;Evening
Wednesday;Bread;Grapes;Beef;Milk;Afternoon
Thursday;Bread;Apple;Chicken;Butter;Afternoon
Friday;Bread;Orange;Chicken;Butter;Afternoon
Saturday;Potato;Orange;Chicken;Egg;Evening
Sunday;Rice;Apple;Fish;Butter;Evening
Monday;Bread;Orange;Beef;Cheese;Evening
Tuesday;Potato;Banana;Chicken;Egg;Evening
Wednesday;Rice;Apple;Chicken;Milk;Afternoon
Thursday;Potato;Grapes;Fish;Cheese;Evening
Friday;Bread;Orange;Chicken;Egg;Afternoon
Saturday;Bread;Apple;Beef;Cheese;Morning
